Case ID,Case Date,Day,Week,Cases,Events
1,6/10/2009,1,1,1,1
693,6/10/2009,1,1,1,1
695,9/10/2009,4,1,1,1
697,12/10/2009,7,1,1,1
46,17/10/2009,12,2,1,1
632,18/10/2009,13,2,1,1
3,25/10/2009,20,3,1,1
4,26/10/2009,21,3,1,1
701,26/10/2009,21,3,1,1
5,1/11/2009,27,4,1,1
6,9/11/2009,35,5,1,1
702,10/11/2009,36,6,1,1
703,13/11/2009,39,6,1,1
7,20/11/2009,46,7,1,1
8,24/11/2009,50,8,1,1
10,25/11/2009,51,8,1,1
9,25/11/2009,51,8,1,1
631,26/11/2009,52,8,1,1
704,4/12/2009,60,9,1,1
705,8/12/2009,64,10,1,1
43,8/12/2009,64,10,1,1
44,14/12/2009,70,10,4,1
515,14/12/2009,70,10,1,1
11,15/12/2009,71,11,1,1
12,17/12/2009,73,11,1,1
157,20/12/2009,76,11,1,1
13,21/12/2009,77,11,1,1
669,25/12/2009,81,12,1,1
14,28/12/2009,84,12,1,1
670,28/12/2009,84,12,1,1
140,29/12/2009,85,13,1,1
107,30/12/2009,86,13,1,1
187,30/12/2009,86,13,1,1
39,30/12/2009,86,13,1,1
31,30/12/2009,86,13,1,1
59,31/12/2009,87,13,1,1
2764,2/01/2010,89,13,1,1
641,2/01/2010,89,13,1,1
16,4/01/2010,91,13,1,1
2763,4/01/2010,91,13,1,1
105,4/01/2010,91,13,1,1
766,5/01/2010,92,14,1,1
706,5/01/2010,92,14,1,1
115,5/01/2010,92,14,1,1
104,5/01/2010,92,14,1,1
122,7/01/2010,94,14,1,1
103,8/01/2010,95,14,1,1
2761,8/01/2010,95,14,1,1
188,8/01/2010,95,14,1,1
102,9/01/2010,96,14,1,1
116,10/01/2010,97,14,2,1
98,10/01/2010,97,14,1,1
101,10/01/2010,97,14,1,1
99,10/01/2010,97,14,1,1
64,11/01/2010,98,14,1,1
97,11/01/2010,98,14,1,1
156,13/01/2010,100,15,1,1
65,13/01/2010,100,15,1,1
58,14/01/2010,101,15,1,1
2760,14/01/2010,101,15,1,1
517,14/01/2010,101,15,1,1
642,15/01/2010,102,15,1,1
45,17/01/2010,104,15,1,1
57,17/01/2010,104,15,1,1
2891,19/01/2010,106,16,1,1
26,20/01/2010,107,16,1,1
92,22/01/2010,109,16,1,1
482,23/01/2010,110,16,1,1
60,23/01/2010,110,16,1,1
50,24/01/2010,111,16,2,1
67,24/01/2010,111,16,1,1
713,25/01/2010,112,16,2,1
812,25/01/2010,112,16,1,1
153,25/01/2010,112,16,1,1
118,26/01/2010,113,17,1,1
176,26/01/2010,113,17,1,1
93,27/01/2010,114,17,1,1
714,28/01/2010,115,17,2,1
639,28/01/2010,115,17,1,1
95,29/01/2010,116,17,1,1
94,30/01/2010,117,17,1,1
78,1/02/2010,119,17,1,1
179,1/02/2010,119,17,1,1
48,2/02/2010,120,18,1,1
53,3/02/2010,121,18,3,1
49,3/02/2010,121,18,1,1
219,3/02/2010,121,18,1,1
52,3/02/2010,121,18,1,1
210,3/02/2010,121,18,1,1
180,3/02/2010,121,18,1,1
204,4/02/2010,122,18,1,1
142,4/02/2010,122,18,1,1
175,6/02/2010,124,18,1,1
481,6/02/2010,124,18,1,1
62,6/02/2010,124,18,1,1
162,7/02/2010,125,18,1,1
79,7/02/2010,125,18,1,1
80,7/02/2010,125,18,1,1
68,8/02/2010,126,18,1,1
480,8/02/2010,126,18,1,1
56,8/02/2010,126,18,1,1
163,11/02/2010,129,19,1,1
164,11/02/2010,129,19,1,1
181,11/02/2010,129,19,1,1
236,12/02/2010,130,19,2,1
112,12/02/2010,130,19,1,1
806,13/02/2010,131,19,1,1
306,15/02/2010,133,19,1,1
193,15/02/2010,133,19,1,1
119,16/02/2010,134,20,1,1
711,17/02/2010,135,20,1,1
710,19/02/2010,137,20,1,1
182,19/02/2010,137,20,1,1
183,19/02/2010,137,20,1,1
117,19/02/2010,137,20,1,1
715,20/02/2010,138,20,1,1
716,20/02/2010,138,20,1,1
223,20/02/2010,138,20,1,1
136,20/02/2010,138,20,1,1
2892,21/02/2010,139,20,1,1
237,22/02/2010,140,20,1,1
125,22/02/2010,140,20,1,1
4084,23/02/2010,141,21,1,1
135,23/02/2010,141,21,1,1
149,23/02/2010,141,21,1,1
276,23/02/2010,141,21,1,1
846,23/02/2010,141,21,1,1
224,23/02/2010,141,21,1,1
144,24/02/2010,142,21,1,1
459,24/02/2010,142,21,1,1
277,24/02/2010,142,21,1,1
184,24/02/2010,142,21,1,1
259,25/02/2010,143,21,1,1
152,25/02/2010,143,21,1,1
287,25/02/2010,143,21,1,1
147,25/02/2010,143,21,1,1
160,26/02/2010,144,21,1,1
159,26/02/2010,144,21,1,1
239,26/02/2010,144,21,1,1
235,27/02/2010,145,21,1,1
231,28/02/2010,146,21,2,1
166,28/02/2010,146,21,1,1
260,28/02/2010,146,21,1,1
238,1/03/2010,147,21,1,1
255,3/03/2010,149,22,1,1
512,3/03/2010,149,22,1,1
404,4/03/2010,150,22,1,1
205,4/03/2010,150,22,1,1
220,4/03/2010,150,22,1,1
225,5/03/2010,151,22,1,1
227,5/03/2010,151,22,1,1
221,6/03/2010,152,22,1,1
325,6/03/2010,152,22,1,1
324,6/03/2010,152,22,1,1
208,7/03/2010,153,22,1,1
376,8/03/2010,154,22,1,1
202,8/03/2010,154,22,1,1
638,8/03/2010,154,22,1,1
226,9/03/2010,155,23,1,1
304,9/03/2010,155,23,1,1
717,9/03/2010,155,23,1,1
323,10/03/2010,156,23,1,1
278,10/03/2010,156,23,1,1
348,11/03/2010,157,23,1,1
322,11/03/2010,157,23,1,1
279,12/03/2010,158,23,1,1
309,12/03/2010,158,23,1,1
233,13/03/2010,159,23,1,1
767,14/03/2010,160,23,1,1
768,14/03/2010,160,23,1,1
349,14/03/2010,160,23,1,1
332,15/03/2010,161,23,1,1
712,15/03/2010,161,23,1,1
525,16/03/2010,162,24,1,1
585,17/03/2010,163,24,1,1
375,17/03/2010,163,24,1,1
298,19/03/2010,165,24,1,1
769,20/03/2010,166,24,1,1
803,20/03/2010,166,24,1,1
284,21/03/2010,167,24,1,1
811,21/03/2010,167,24,1,1
770,22/03/2010,168,24,1,1
368,22/03/2010,168,24,1,1
289,22/03/2010,168,24,1,1
802,23/03/2010,169,25,1,1
2893,23/03/2010,169,25,1,1
593,23/03/2010,169,25,1,1
333,23/03/2010,169,25,1,1
357,24/03/2010,170,25,1,1
290,24/03/2010,170,25,1,1
799,25/03/2010,171,25,1,1
801,26/03/2010,172,25,1,1
296,26/03/2010,172,25,1,1
520,26/03/2010,172,25,1,1
1569,27/03/2010,173,25,3,1
338,27/03/2010,173,25,1,1
344,29/03/2010,175,25,1,1
305,29/03/2010,175,25,1,1
310,29/03/2010,175,25,1,1
311,30/03/2010,176,26,5,1
328,30/03/2010,176,26,1,1
523,31/03/2010,177,26,1,1
925,31/03/2010,177,26,1,1
351,1/04/2010,178,26,1,1
361,1/04/2010,178,26,1,1
340,2/04/2010,179,26,3,1
312,2/04/2010,179,26,1,1
315,2/04/2010,179,26,1,1
510,2/04/2010,179,26,1,1
317,2/04/2010,179,26,1,1
316,2/04/2010,179,26,1,1
321,4/04/2010,181,26,4,1
319,4/04/2010,181,26,1,1
395,4/04/2010,181,26,1,1
345,6/04/2010,183,27,1,1
335,6/04/2010,183,27,1,1
468,6/04/2010,183,27,1,1
377,7/04/2010,184,27,1,1
339,8/04/2010,185,27,1,1
337,8/04/2010,185,27,1,1
552,8/04/2010,185,27,1,1
336,8/04/2010,185,27,1,1
331,9/04/2010,186,27,1,1
352,9/04/2010,186,27,1,1
330,9/04/2010,186,27,1,1
430,9/04/2010,186,27,1,1
363,10/04/2010,187,27,1,1
346,10/04/2010,187,27,1,1
509,10/04/2010,187,27,1,1
343,10/04/2010,187,27,1,1
522,11/04/2010,188,27,1,1
341,11/04/2010,188,27,1,1
342,11/04/2010,188,27,1,1
524,12/04/2010,189,27,1,1
526,12/04/2010,189,27,1,1
3957,12/04/2010,189,27,1,1
508,12/04/2010,189,27,1,1
378,12/04/2010,189,27,1,1
645,13/04/2010,190,28,1,1
477,13/04/2010,190,28,1,1
848,13/04/2010,190,28,1,1
595,14/04/2010,191,28,1,1
359,14/04/2010,191,28,1,1
470,14/04/2010,191,28,1,1
360,14/04/2010,191,28,1,1
364,14/04/2010,191,28,1,1
583,15/04/2010,192,28,1,1
366,15/04/2010,192,28,1,1
428,15/04/2010,192,28,1,1
798,16/04/2010,193,28,1,1
367,16/04/2010,193,28,1,1
365,16/04/2010,193,28,1,1
408,17/04/2010,194,28,4,1
471,17/04/2010,194,28,1,1
584,18/04/2010,195,28,1,1
472,18/04/2010,195,28,1,1
382,18/04/2010,195,28,1,1
383,18/04/2010,195,28,1,1
810,18/04/2010,195,28,1,1
897,19/04/2010,196,28,1,1
422,19/04/2010,196,28,1,1
847,20/04/2010,197,29,1,1
423,21/04/2010,198,29,1,1
598,21/04/2010,198,29,1,1
399,21/04/2010,198,29,1,1
426,21/04/2010,198,29,1,1
478,21/04/2010,198,29,1,1
400,22/04/2010,199,29,1,1
809,22/04/2010,199,29,1,1
433,22/04/2010,199,29,1,1
849,23/04/2010,200,29,1,1
389,23/04/2010,200,29,1,1
387,23/04/2010,200,29,1,1
407,24/04/2010,201,29,2,1
392,25/04/2010,202,29,1,1
393,25/04/2010,202,29,1,1
456,26/04/2010,203,29,3,1
394,26/04/2010,203,29,1,1
534,26/04/2010,203,29,1,1
427,26/04/2010,203,29,1,1
495,27/04/2010,204,30,1,1
536,27/04/2010,204,30,1,1
535,27/04/2010,204,30,1,1
409,27/04/2010,204,30,1,1
760,28/04/2010,205,30,1,1
434,28/04/2010,205,30,1,1
410,28/04/2010,205,30,1,1
527,28/04/2010,205,30,1,1
416,28/04/2010,205,30,1,1
414,29/04/2010,206,30,1,1
418,30/04/2010,207,30,1,1
473,30/04/2010,207,30,1,1
435,30/04/2010,207,30,1,1
436,30/04/2010,207,30,1,1
405,30/04/2010,207,30,1,1
497,30/04/2010,207,30,1,1
659,1/05/2010,208,30,1,1
474,1/05/2010,208,30,1,1
450,2/05/2010,209,30,1,1
851,2/05/2010,209,30,1,1
1734,2/05/2010,209,30,1,1
449,2/05/2010,209,30,1,1
444,3/05/2010,210,30,5,1
457,3/05/2010,210,30,3,1
763,3/05/2010,210,30,1,1
2759,3/05/2010,210,30,1,1
425,3/05/2010,210,30,1,1
